Código,Nombre,1: GASTOS DE PERSONAL,2: GASTOS CORRIENTES EN BIENES Y SERVICIOS,3: GASTOS FINANCIEROS,4: TRANSFERENCIAS CORRIENTES,5: FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS,6: INVERSIONES REALES,7: TRANSFERENCIAS DE CAPITAL,8: ACTIVOS FINANCIEROS,9: PASIVOS FINANCIEROS
493,"Protección de consumidores y usuarios",274936.37,30600.00,0,0,0,0,0,0,0
9,"ACTUACIONES DE CARÁCTER GENERAL",27680685.34,15752544.64,567871.26,1329053.24,528.74,9224166.05,80000.00,195100.00,0
91,"Órganos de gobierno",3717550.99,56751.68,0,1314982.76,0,0,80000.00,0,0
912,"Órganos de gobierno",3717550.99,56751.68,0,1314982.76,0,0,80000.00,0,0
92,"Servicios de carácter general",19386971.65,12857316.48,0,14070.48,528.74,8282205.03,0,195100.00,0
920,"Administración General",14687642.91,12193615.33,0,0,0,8282205.03,0,195100.00,0
922,"Coordinación y organización institucional de las entidades locales",770723.85,5340.40,0,0,0,0,0,0,0
923,"Información básica y estadística",784562.13,528790.00,0,0,0,0,0,0,0
9231,"Gestión del Padrón Municipal de Habitantes",784562.13,528790.00,0,0,0,0,0,0,0
924,"Participación ciudadana",502648.73,10500.00,0,14070.48,0,0,0,0,0
925,"Atención a los ciudadanos",2397235.73,76070.75,0,0,0,0,0,0,0
926,"Comunicaciones internas",244158.30,43000.00,0,0,0,0,0,0,0
929,"Imprevistos, situaciones transitorias y contingencias de ejecución",0,0,0,0,528.74,0,0,0,0
93,"Administración financiera y tributaria",4576162.70,2838476.48,567871.26,0,0,941961.02,0,0,0
931,"Política económica y fiscal",1752170.43,121600.00,0,0,0,0,0,0,0
932,"Gestión del sistema tributario",1945876.80,52307.61,0,0,0,0,0,0,0
933,"Gestión del patrimonio",191922.55,2664568.87,0,0,0,941961.02,0,0,0
934,"Gestión de la deuda y de la tesorería",686192.92,0,567871.26,0,0,0,0,0,0
94,"Transferencias a otras Administraciones Públicas",0,0,0,0,0,0,0,0,0
941,"Transferencias a Comunidades Autónomas",0,0,0,0,0,0,0,0,0
942,"Transferencias a Entidades Locales territoriales",0,0,0,0,0,0,0,0,0
943,"Transferencias a otras Entidades Locales",0,0,0,0,0,0,0,0,0
944,"Transferencias a la Administración General del Estado",0,0,0,0,0,0,0,0,0
